GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1134739148,20231020,202310,2023,2023.7945,GOV,GOVERNMENT,,,,,,GOV,,,IRQ,IRAQ,IRQ,,,,,,,,1,050,050,05,1,3.5,10,1,10,-3.22265625,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,20231020060000,https://www.tagesschau.de/investigativ/ndr-wdr/abschiebungen-irak-100.html
1134789780,20231020,202310,2023,2023.7945,ISR,ISRAELI,ISR,,,,,,,,ISRGOVMIL,ISRAEL,ISR,,,,,GOV,MIL,,1,138,138,13,3,-7.0,4,1,4,-3.80859375,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20231020104500,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-100.html
1134739063,20231020,202310,2023,2023.7945,EUR,EUROPE,EUR,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,10,1,10,-3.22265625,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,0,,,,,,,,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,20231020060000,https://www.tagesschau.de/investigativ/ndr-wdr/abschiebungen-irak-100.html
1134789822,20231020,202310,2023,2023.7945,ISRMIL,ISRAELI,ISR,,,,,MIL,,,PSE,GAZA,PSE,,,,,,,,1,195,195,19,4,-10.0,2,1,2,-3.80859375,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,20231020104500,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-100.html
1134846907,20231020,202310,2023,2023.7945,EGY,EGYPT,EGY,,,,,,,,,,,,,,,,,,1,080,080,08,2,5.0,2,1,2,-3.16742081447964,1,Lebanon,LE,LE,,33.833333,35.833333,LE,0,,,,,,,,1,Lebanon,LE,LE,,33.833333,35.833333,LE,20231020153000,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-102.html
1134739224,20231020,202310,2023,2023.7945,IRQ,IRAQ,IRQ,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,050,050,05,1,3.5,10,1,10,-3.22265625,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,4,"Baghdad, Baghdad, Iraq",IZ,IZ07,36785,33.3386,44.3939,-3103581,20231020060000,https://www.tagesschau.de/investigativ/ndr-wdr/abschiebungen-irak-100.html
1134789658,20231020,202310,2023,2023.7945,GOV,PRIME MINISTER,,,,,,GOV,,,LBNMIL,LEBANESE,LBN,,,,,MIL,,,0,046,046,04,1,7.0,10,1,10,-3.80859375,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,20231020104500,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-100.html
1134789791,20231020,202310,2023,2023.7945,ISR,ISRAELI,ISR,,,,,,,,PSE,GAZA,PSE,,,,,,,,1,195,195,19,4,-10.0,4,1,4,-3.80859375,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,20231020104500,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-100.html
1134789884,20231020,202310,2023,2023.7945,LBNMIL,LEBANESE,LBN,,,,,MIL,,,GOV,PRIME MINISTER,,,,,,GOV,,,0,046,046,04,1,7.0,10,1,10,-3.80859375,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,20231020104500,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-100.html
1134847377,20231020,202310,2023,2023.7945,PSE,GAZA,PSE,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,060,060,06,2,6.0,2,1,2,-3.16742081447964,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,1,Lebanon,LE,LE,,33.833333,35.833333,LE,20231020153000,https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-hamas-102.html
